,restaurant,item,ms_item,matched_2021,new_item_2022,menu_item_id,food_category,item_description,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium,notes,calories_text,total_fat_text,saturated_fat_text,trans_fat_text,cholesterol_text,sodium_text,carbohydrates_text,dietary_fiber_text,sugar_text,protein_text,bestseller
79,burger_king,Triple Whopper – Meal,Triple Whopper w/ Cheese,1,0,926485,Burgers,"Triple Whopper w/ Cheese, Flame Grilled Burgers",,,,,1300,89.0,36.0,1.5,300.0,1830,52.0,2.0,12.0,76.0,,,,,,,,,,,,,0
80,burger_king,Triple Whopper ,Triple Whopper w/ Cheese,1,0,926485,Burgers,"Triple Whopper w/ Cheese, Flame Grilled Burgers",,,,,1300,89.0,36.0,1.5,300.0,1830,52.0,2.0,12.0,76.0,,,,,,,,,,,,,0
81,burger_king,Whopper Jr.,Whopper Jr.,1,0,11,Burgers,"Whopper Jr., Flame Grilled Burgers",,,,,310,18.0,5.0,0.0,40.0,390,27.0,1.0,7.0,13.0,,,,,,,,,,,,,1
83,burger_king,Impossible Whopper,Impossible Whopper,1,0,926543,Burgers,"Impossible Whopper, Flame Grilled Burgers",,,g,,630,34.0,11.0,0.0,20.0,1080,58.0,4.0,12.0,25.0,,,,,,,,,,,,,0
84,burger_king,Crispy Chicken Sandwich,Crispy Chicken Sandwich,1,0,284,Sandwiches,"Crispy Chicken Sandwich, Chicken & Fish",,,,,670,41.0,7.0,0.0,60.0,1070,54.0,2.0,7.0,23.0,,,,,,,,,,,,,0
85,burger_king,Crispy Chicken Sandwich – Meal,Crispy Chicken Sandwich,1,0,284,Sandwiches,"Crispy Chicken Sandwich, Chicken & Fish",,,,,670,41.0,7.0,0.0,60.0,1070,54.0,2.0,7.0,23.0,,,,,,,,,,,,,0
86,burger_king,Spicy Crispy Chicken Sandwich – Meal,Spicy Crispy Chicken Sandwich,1,0,180051,Sandwiches,"Spicy Crispy Chicken Sandwich, Chicken & Fish",242.0,,g,,700,42.0,7.0,0.0,65.0,1140,57.0,3.0,8.0,25.0,,,,,,,,,,,,,0
87,burger_king,Spicy Crispy Chicken Sandwich,Spicy Crispy Chicken Sandwich,1,0,180051,Sandwiches,"Spicy Crispy Chicken Sandwich, Chicken & Fish",242.0,,g,,700,42.0,7.0,0.0,65.0,1140,57.0,3.0,8.0,25.0,,,,,,,,,,,,,0
88,burger_king,Big Fish Sandwich,Big Fish Sandwich,1,0,60385,Sandwiches,"Big Fish Sandwich, Chicken & Fish",188.0,,g,,510,28.0,4.5,0.0,30.0,1180,51.0,2.0,7.0,16.0,,,,,,,,,,,,,0
89,burger_king,Big Fish Sandwich – Meal,Big Fish Sandwich,1,0,60385,Sandwiches,"Big Fish Sandwich, Chicken & Fish",188.0,,g,,510,28.0,4.5,0.0,30.0,1180,51.0,2.0,7.0,16.0,,,,,,,,,,,,,0
90,burger_king,Chicken Nuggets – Meal,"Chicken Nuggets, 8 Piece",0,1,951993,Entrees,"Chicken Nuggets, 8 Piece, Chicken & Fish",,,,,340,22.0,3.5,0.0,45.0,630,21.0,1.0,0.0,16.0,,,,,,,,,,,,,0
91,burger_king,Spicy Chicken Nuggets,"Spicy Nuggets, 4 Piece",1,0,926490,Entrees,"Spicy Nuggets, 4 Piece, Chicken & Fish",,,,,210,15.0,3.0,0.0,20.0,570,11.0,2.0,0.0,8.0,,,,,,,,,,,,,0
92,burger_king,Chicken Fries,"Chicken Fries, 9 Piece",1,0,118426,Entrees,"Chicken Fries, 9 Piece, Chicken & Fish",,,,,430,32.0,143.0,0.0,45.0,930,21.0,1.0,2.0,14.0,,,,,,,,,,,,,0
93,burger_king,Bacon Cheeseburger,Bacon Cheeseburger,1,0,11442,Burgers,"Bacon Cheeseburger, Flame Grilled Burgers",118.0,,g,,320,16.0,7.0,0.0,55.0,710,27.0,,7.0,17.0,,,,,,,,,,,,,0
94,burger_king,Bacon Double Cheeseburger,Bacon Double Cheeseburger,1,0,11474,Burgers,"Bacon Double Cheeseburger, Flame Grilled Burgers",155.0,,g,,400,22.0,11.0,0.0,85.0,670,27.0,,7.0,24.0,,,,,,,,,,,,,0
95,burger_king,Bacon Cheeseburger Deluxe,Bacon Cheeseburger,1,0,11442,Burgers,"Bacon Cheeseburger, Flame Grilled Burgers",118.0,,g,,320,16.0,7.0,0.0,55.0,710,27.0,,7.0,17.0,,,,,,,,,,,,,0
96,burger_king,Double Cheeseburger,Double Cheeseburger,1,0,170894,Burgers,"Double Cheeseburger, Flame Grilled Burgers",148.0,,g,,390,21.0,9.0,0.0,85.0,590,27.0,,7.0,23.0,,,,,,,,,,,,,0
97,burger_king,French Fries,"Classic Fries, Medium",1,0,926500,Fried Potatoes,"Classic Fries, Medium, Sides",,,,,380,17.0,3.0,0.0,0.0,570,53.0,4.0,0.0,5.0,,,,,,,,,,,,,1
98,burger_king,Onion Rings,"Onion Rings, Medium",1,0,2130,Appetizers & Sides,"Onion Rings, Medium, Sides",117.0,,g,,560,36.0,6.0,0.0,20.0,1320,56.0,0.0,5.0,4.0,,,,,,,,,,,,,0
99,burger_king,Hamburger,Hamburger,1,0,7,Burgers,"Hamburger, Flame Grilled Burgers",99.0,,g,,240,10.0,3.5,0.0,35.0,380,26.0,,6.0,13.0,,,,,,,,,,,,,0
